ProbeR	  Phi_acc
0.000	  27.4396362000
0.010	  26.7711067000
0.020	  26.1101303000
0.030	  25.4534149000
0.040	  24.8058338000
0.050	  24.6053391000
0.060	  24.0541553000
0.070	  23.9976845000
0.080	  24.1689472000
0.090	  24.0030594000
0.100	  24.5905781000
0.110	  24.5798626000
0.120	  24.6330605000
0.130	  25.1986084000
0.140	  24.8977222000
0.150	  25.4051991000
0.160	  25.6456585000
0.170	  25.5222740000
0.180	  25.4475174000
0.190	  25.2519131000
0.200	  25.5827332000
0.210	  25.3046093000
0.220	  25.3877048000
0.230	  24.9715939000
0.240	  25.0757961000
0.250	  25.0966511000
0.260	  24.9424152000
0.270	  24.6936836000
0.280	  24.5488319000
0.290	  24.4137421000
0.300	  24.3552933000
0.310	  24.0860672000
0.320	  23.9534035000
0.330	  23.5724411000
0.340	  23.4347992000
0.350	  23.0656109000
0.360	  22.8809547000
0.370	  22.6478653000
0.380	  22.3670959000
0.390	  22.0733280000
0.400	  21.9248638000
0.410	  21.6386642000
0.420	  21.2389679000
0.430	  20.9993343000
0.440	  20.7305927000
0.450	  20.4956684000
0.460	  20.2040939000
0.470	  19.8436642000
0.480	  19.5865364000
0.490	  19.1966572000
0.500	  18.7135925000
0.510	  18.4507484000
0.520	  18.1846695000
0.530	  17.9157829000
0.540	  17.6077404000
0.550	  17.3464966000
0.560	  16.9524822000
0.570	  16.6826630000
0.580	  16.2121124000
0.590	  15.8010168000
0.600	  15.5381012000
0.610	  14.9711876000
0.620	  14.6463547000
0.630	  14.4133358000
0.640	  14.0517712000
0.650	  13.7960825000
0.660	  13.3954153000
0.670	  13.2063179000
0.680	  12.7385559000
0.690	  11.9774218000
0.700	  11.2553539000
0.710	  10.2308531000
0.720	  10.0655956000
0.730	   9.7039423000
0.740	   9.5363655100
0.750	   9.3816070600
0.760	   9.0986089700
0.770	   8.9515638400
0.780	   8.6332912400
0.790	   8.5192728000
0.800	   8.4219188700
0.810	   8.3067493400
0.820	   8.1691598900
0.830	   7.8981175400
0.840	   7.7769613300
0.850	   7.6931276300
0.860	   7.4013204600
0.870	   7.3211541200
0.880	   6.7743048700
0.890	   6.6608786600
0.900	   6.5662226700
0.910	   6.4752154400
0.920	   6.3751297000
0.930	   5.9882345200
0.940	   5.9374451600
0.950	   5.8433818800
0.960	   5.7386217100
0.970	   5.6347241400
0.980	   5.4971895200
0.990	   5.3507370900
1.000	   5.2738976500
1.010	   4.9571895600
1.020	   4.7768125500
1.030	   3.6899809800
1.040	   3.5367686700
1.050	   2.8196816400
1.060	   2.7229397300
1.070	   2.5968570700
1.080	   2.3813676800
1.090	   1.9369231500
1.100	   1.8234434100
1.110	   1.7653369900
1.120	   1.7041564000
1.130	   1.6615295400
1.140	   1.5743702700
1.150	   1.5381257500
1.160	   1.5168213800
1.170	   1.4414738400
1.180	   1.4195401700
1.190	   1.3434554300
1.200	   1.3519772300
1.210	   1.2848637100
1.220	   0.0000000000
1.230	   0.0000000000
1.240	   0.0000000000
1.250	   0.0000000000
1.260	   0.0000000000
1.270	   0.0000000000
1.280	   0.0000000000
1.290	   0.0000000000
1.300	   0.0000000000
1.310	   0.0000000000
1.320	   0.0000000000
1.330	   0.0000000000
1.340	   0.0000000000
1.350	   0.0000000000
1.360	   0.0000000000
1.370	   0.0000000000
1.380	   0.0000000000
1.390	   0.0000000000
1.400	   0.0000000000
1.410	   0.0000000000
1.420	   0.0000000000
1.430	   0.0000000000
1.440	   0.0000000000
1.450	   0.0000000000
1.460	   0.0000000000
1.470	   0.0000000000
1.480	   0.0000000000
1.490	   0.0000000000
1.500	   0.0000000000
1.510	   0.0000000000
1.520	   0.0000000000
1.530	   0.0000000000
1.540	   0.0000000000
1.550	   0.0000000000
1.560	   0.0000000000
1.570	   0.0000000000
1.580	   0.0000000000
1.590	   0.0000000000
1.600	   0.0000000000
1.610	   0.0000000000
1.620	   0.0000000000
1.630	   0.0000000000
1.640	   0.0000000000
1.650	   0.0000000000
1.660	   0.0000000000
1.670	   0.0000000000
1.680	   0.0000000000
1.690	   0.0000000000
1.700	   0.0000000000
1.710	   0.0000000000
1.720	   0.0000000000
1.730	   0.0000000000
1.740	   0.0000000000
1.750	   0.0000000000
1.760	   0.0000000000
1.770	   0.0000000000
1.780	   0.0000000000
1.790	   0.0000000000
1.800	   0.0000000000
1.810	   0.0000000000
1.820	   0.0000000000
1.830	   0.0000000000
1.840	   0.0000000000
1.850	   0.0000000000
1.860	   0.0000000000
1.870	   0.0000000000
1.880	   0.0000000000
1.890	   0.0000000000
1.900	   0.0000000000
1.910	   0.0000000000
1.920	   0.0000000000
1.930	   0.0000000000
1.940	   0.0000000000
1.950	   0.0000000000
1.960	   0.0000000000
1.970	   0.0000000000
1.980	   0.0000000000
1.990	   0.0000000000
