ProbeR	  Phi_acc
0.000	  70.4910431000
0.010	  70.1904068000
0.020	  69.8888931000
0.030	  69.5834198000
0.040	  69.2804871000
0.050	  68.9794159000
0.060	  68.6779938000
0.070	  68.3746872000
0.080	  68.0749969000
0.090	  67.7784424000
0.100	  69.6424561000
0.110	  69.5482941000
0.120	  69.2491913000
0.130	  68.9435349000
0.140	  68.6442490000
0.150	  69.7075806000
0.160	  69.4090500000
0.170	  69.1100464000
0.180	  69.4411545000
0.190	  69.1347122000
0.200	  69.2554855000
0.210	  69.0523987000
0.220	  68.7453537000
0.230	  69.5563354000
0.240	  69.2610779000
0.250	  69.5748367000
0.260	  69.2659149000
0.270	  68.9642715000
0.280	  68.6649551000
0.290	  69.0274200000
0.300	  69.2868652000
0.310	  69.2234955000
0.320	  69.2586212000
0.330	  68.9572296000
0.340	  69.0371552000
0.350	  68.9519501000
0.360	  68.9497910000
0.370	  68.9032898000
0.380	  69.1332016000
0.390	  68.8355484000
0.400	  68.6778641000
0.410	  68.4234772000
0.420	  68.8772125000
0.430	  68.9289246000
0.440	  68.8726578000
0.450	  68.7779007000
0.460	  68.8406677000
0.470	  68.8362808000
0.480	  68.5432739000
0.490	  68.5536118000
0.500	  68.5910568000
0.510	  68.6914673000
0.520	  68.6485214000
0.530	  68.4576950000
0.540	  68.6402893000
0.550	  68.5882034000
0.560	  68.3328094000
0.570	  68.1976166000
0.580	  68.3282471000
0.590	  68.4617157000
0.600	  68.3952637000
0.610	  68.2598267000
0.620	  68.3529129000
0.630	  68.0781631000
0.640	  68.3148041000
0.650	  68.2958603000
0.660	  68.1685867000
0.670	  68.1929016000
0.680	  68.1614838000
0.690	  67.9049606000
0.700	  68.0068207000
0.710	  68.0989685000
0.720	  68.0185699000
0.730	  67.9641571000
0.740	  68.0011597000
0.750	  67.9114609000
0.760	  67.8573303000
0.770	  67.8483505000
0.780	  67.7873993000
0.790	  67.8213272000
0.800	  67.6261902000
0.810	  67.7853546000
0.820	  67.7457657000
0.830	  67.7489395000
0.840	  67.6591187000
0.850	  67.4832764000
0.860	  67.6458588000
0.870	  67.5665054000
0.880	  67.5199966000
0.890	  67.3800049000
0.900	  67.4309616000
0.910	  67.4164200000
0.920	  67.4044113000
0.930	  67.3603668000
0.940	  67.2550583000
0.950	  67.4154129000
0.960	  67.2221985000
0.970	  67.2018356000
0.980	  67.0500870000
0.990	  67.1491776000
1.000	  67.1148071000
1.010	  67.1668091000
1.020	  66.9903946000
1.030	  67.0155869000
1.040	  66.9228821000
1.050	  66.9870605000
1.060	  66.8472519000
1.070	  66.8764114000
1.080	  66.8834839000
1.090	  66.7188797000
1.100	  66.6118469000
1.110	  66.6496964000
1.120	  66.7488861000
1.130	  66.5885620000
1.140	  66.6038361000
1.150	  66.5587769000
1.160	  66.5530243000
1.170	  66.4878082000
1.180	  66.4617310000
1.190	  66.3322601000
1.200	  66.3044510000
1.210	  66.3622284000
1.220	  66.2905350000
1.230	  66.2593384000
1.240	  66.2892761000
1.250	  66.2072449000
1.260	  66.0565643000
1.270	  66.1336975000
1.280	  66.1183929000
1.290	  66.0254669000
1.300	  66.0065536000
1.310	  65.9162216000
1.320	  65.9491196000
1.330	  65.7670212000
1.340	  65.8009491000
1.350	  65.8214951000
1.360	  65.8004150000
1.370	  65.6644440000
1.380	  65.6014175000
1.390	  65.5838547000
1.400	  65.5685272000
1.410	  65.5036163000
1.420	  65.4505844000
1.430	  65.4061279000
1.440	  65.2686768000
1.450	  65.0765610000
1.460	  64.9850388000
1.470	  64.8408279000
1.480	  64.8156662000
1.490	  64.7786560000
1.500	  64.7210693000
1.510	  64.6805725000
1.520	  64.5982895000
1.530	  64.5993195000
1.540	  64.5090561000
1.550	  64.4023361000
1.560	  64.2963943000
1.570	  64.2565918000
1.580	  64.2496796000
1.590	  63.8993988000
1.600	  63.7678261000
1.610	  63.7434731000
1.620	  63.3015556000
1.630	  63.1718941000
1.640	  62.8843307000
1.650	  62.7974586000
1.660	  62.5102386000
1.670	  62.3369408000
1.680	  62.1186180000
1.690	  61.9822617000
1.700	  61.8113213000
1.710	  61.7641907000
1.720	  61.6487312000
1.730	  61.5844536000
1.740	  61.3471870000
1.750	  61.2449875000
1.760	  60.9768372000
1.770	  60.8168259000
1.780	  60.7048569000
1.790	  60.6572266000
1.800	  60.0815277000
1.810	  60.0496712000
1.820	  59.3342285000
1.830	  59.1888618000
1.840	  59.1793709000
1.850	  59.1302643000
1.860	  58.6308174000
1.870	  58.5387039000
1.880	  58.5470276000
1.890	  58.1142502000
1.900	  58.0241432000
1.910	  57.9810371000
1.920	  57.6960793000
1.930	  57.7228775000
1.940	  57.6675529000
1.950	  57.5828552000
1.960	  57.4948845000
1.970	  57.4737358000
1.980	  57.4236565000
1.990	  57.3639641000
2.000	  56.8698959000
2.010	  56.8120193000
2.020	  56.7975044000
2.030	  56.7673454000
2.040	  56.6954918000
2.050	  56.6444092000
2.060	  56.6679420000
2.070	  56.0580597000
2.080	  56.0127258000
2.090	  55.9408722000
2.100	  55.9293098000
2.110	  55.8375435000
2.120	  55.8311005000
2.130	  55.7972603000
2.140	  55.8059616000
2.150	  55.7392654000
2.160	  55.7164268000
2.170	  54.9364815000
2.180	  54.8925285000
2.190	  54.8491707000
2.200	  54.8951378000
2.210	  54.8449287000
2.220	  54.8298836000
2.230	  54.7810898000
2.240	  54.6936874000
2.250	  54.7050591000
2.260	  54.6345596000
2.270	  54.6264229000
2.280	  54.5837593000
2.290	  54.5256958000
2.300	  54.5054626000
2.310	  54.4961929000
2.320	  54.4349594000
2.330	  54.3956871000
2.340	  54.3797913000
2.350	  54.3191261000
2.360	  54.2802620000
2.370	  54.2096672000
2.380	  54.2273216000
2.390	  54.1646118000
2.400	  54.1270981000
2.410	  54.1290817000
2.420	  54.1147842000
2.430	  54.0678139000
2.440	  53.0863571000
2.450	  53.0493202000
2.460	  53.0151672000
2.470	  53.0373459000
2.480	  52.9982986000
2.490	  52.9192505000
2.500	  52.9492188000
2.510	  52.9282646000
2.520	  52.8631668000
2.530	  52.8357391000
2.540	  52.8184586000
2.550	  52.8209457000
2.560	  52.7669678000
2.570	  52.7377205000
2.580	  52.7172318000
2.590	  52.6855354000
2.600	  52.6661797000
2.610	  52.6238632000
2.620	  52.6184540000
2.630	  52.5993233000
2.640	  52.5931664000
2.650	  52.5668068000
2.660	  52.5218506000
2.670	  52.4981918000
2.680	  52.4481125000
2.690	  52.4350090000
2.700	  52.4704170000
2.710	  52.4337234000
2.720	  52.3625908000
2.730	  52.4015503000
2.740	  52.3346901000
2.750	  52.3273125000
2.760	  52.2764435000
2.770	  52.2751579000
2.780	  52.2524414000
2.790	  52.2081070000
2.800	  52.2166557000
2.810	  52.1732979000
2.820	  52.1562386000
2.830	  52.1436768000
2.840	  52.1567421000
2.850	  52.0872459000
2.860	  52.0616112000
2.870	  52.0393028000
2.880	  51.9929276000
2.890	  51.9715958000
2.900	  51.9831886000
2.910	  51.9647179000
2.920	  51.9747391000
2.930	  51.8809929000
2.940	  51.8696785000
2.950	  51.8330154000
2.960	  51.8345833000
2.970	  51.7820892000
2.980	  51.7051468000
2.990	  51.7261620000
3.000	  51.7116776000
3.010	  51.6751709000
3.020	  51.6811142000
3.030	  51.6475258000
3.040	  51.6199112000
3.050	  51.5986366000
3.060	  51.5350800000
3.070	  51.5426865000
3.080	  51.5423050000
3.090	  51.4429016000
3.100	  51.5008392000
3.110	  51.4569778000
3.120	  51.4216652000
3.130	  51.3891144000
3.140	  51.3768311000
3.150	  51.3148422000
3.160	  51.3143730000
3.170	  51.2862549000
3.180	  51.2242661000
3.190	  51.2057953000
3.200	  51.1471024000
3.210	  51.1757545000
3.220	  51.1427040000
3.230	  51.1171341000
3.240	  51.0445900000
3.250	  51.0140839000
3.260	  50.9973984000
3.270	  50.9862480000
3.280	  50.9463501000
3.290	  50.9196396000
3.300	  50.9047813000
3.310	  50.8536034000
3.320	  50.8211784000
3.330	  50.7823181000
3.340	  50.7585335000
3.350	  50.7455215000
3.360	  50.7324219000
3.370	  50.6862717000
3.380	  50.6805840000
3.390	  50.6117477000
3.400	  50.5621719000
3.410	  50.5399590000
3.420	  50.4701195000
3.430	  50.4744835000
3.440	  50.4867668000
3.450	  50.4319801000
3.460	  50.3756180000
3.470	  50.3221397000
3.480	  50.2686691000
3.490	  50.2271347000
3.500	  50.2484322000
3.510	  50.1897469000
3.520	  50.1057968000
3.530	  50.1028786000
3.540	  50.0737534000
3.550	  50.0752640000
3.560	  49.9924469000
3.570	  49.9376221000
3.580	  49.9187698000
3.590	  49.8569069000
3.600	  49.8519440000
3.610	  49.7837677000
3.620	  49.7501183000
3.630	  49.7586327000
3.640	  49.7230377000
3.650	  49.6155243000
3.660	  49.5704727000
3.670	  49.5785789000
3.680	  49.5380821000
3.690	  49.4784508000
3.700	  49.4657898000
3.710	  49.3826904000
3.720	  49.3151436000
3.730	  49.3014755000
3.740	  49.2945938000
3.750	  49.2230911000
3.760	  49.2554169000
3.770	  49.1801071000
3.780	  49.1140404000
3.790	  49.0213852000
3.800	  49.0119629000
3.810	  48.9944649000
3.820	  48.9774361000
3.830	  48.9230499000
3.840	  48.8803520000
3.850	  48.8134995000
3.860	  48.7749786000
3.870	  48.7076530000
3.880	  48.6647949000
3.890	  48.6315231000
3.900	  48.6057625000
3.910	  48.5794029000
3.920	  48.5159111000
3.930	  48.4669914000
3.940	  48.4229126000
3.950	  48.3988800000
3.960	  48.3512802000
3.970	  48.2503967000
3.980	  48.1915207000
3.990	  48.1517448000
4.000	  48.1636238000
4.010	  48.0863037000
4.020	  48.0549469000
4.030	  48.0360069000
4.040	  48.0509262000
4.050	  47.9359703000
4.060	  47.8535004000
4.070	  47.7790375000
4.080	  47.7274513000
4.090	  47.7048302000
4.100	  47.7026939000
4.110	  47.6876755000
4.120	  47.5582695000
4.130	  47.5304298000
4.140	  47.5337639000
4.150	  47.4720573000
4.160	  47.4196510000
4.170	  47.3297348000
4.180	  47.2313042000
4.190	  47.2266235000
4.200	  47.2030296000
4.210	  47.1670876000
4.220	  47.1032486000
4.230	  47.0291939000
4.240	  47.0425797000
4.250	  46.9602318000
4.260	  46.8837929000
4.270	  46.7920227000
4.280	  46.7173119000
4.290	  46.7225914000
4.300	  46.6858330000
4.310	  46.6480675000
4.320	  46.5019417000
4.330	  46.5450172000
4.340	  46.5233383000
4.350	  46.3899078000
4.360	  46.3652458000
4.370	  46.3369408000
4.380	  46.2594643000
4.390	  46.1793480000
4.400	  46.1409225000
4.410	  46.1424637000
4.420	  46.1333847000
4.430	  46.0639191000
4.440	  45.8963699000
4.450	  45.8901482000
4.460	  45.8685646000
4.470	  45.9134903000
4.480	  45.7885132000
