ProbeR	  Phi_acc
0.000	  69.9159470000
0.010	  69.6044693000
0.020	  69.2994690000
0.030	  68.9910049000
0.040	  68.6835861000
0.050	  68.3799973000
0.060	  68.0786057000
0.070	  67.7761459000
0.080	  67.4725266000
0.090	  67.1684647000
0.100	  68.8399200000
0.110	  68.9367447000
0.120	  68.6284790000
0.130	  68.3215942000
0.140	  68.0141983000
0.150	  69.0719986000
0.160	  68.7587357000
0.170	  68.4623718000
0.180	  68.7726822000
0.190	  68.4674301000
0.200	  68.4797745000
0.210	  68.4020233000
0.220	  68.0950394000
0.230	  68.8960648000
0.240	  68.5950851000
0.250	  68.9057388000
0.260	  68.6056671000
0.270	  68.3089905000
0.280	  68.0207672000
0.290	  68.4056015000
0.300	  68.6225433000
0.310	  68.5779266000
0.320	  68.6281052000
0.330	  68.4049988000
0.340	  68.4166641000
0.350	  68.3390274000
0.360	  68.2219009000
0.370	  68.2944794000
0.380	  68.5067368000
0.390	  68.2218094000
0.400	  68.0418777000
0.410	  68.0500793000
0.420	  68.2893906000
0.430	  68.3296967000
0.440	  68.2784882000
0.450	  68.1954803000
0.460	  68.2248230000
0.470	  68.2423248000
0.480	  67.9544449000
0.490	  67.8693008000
0.500	  67.8796387000
0.510	  68.1209564000
0.520	  68.1274567000
0.530	  67.8822174000
0.540	  68.0683670000
0.550	  67.9664764000
0.560	  67.7631760000
0.570	  67.7416534000
0.580	  67.8490067000
0.590	  67.8245316000
0.600	  67.8128815000
0.610	  67.6921692000
0.620	  67.7781296000
0.630	  67.5612869000
0.640	  67.7088165000
0.650	  67.7142258000
0.660	  67.6258163000
0.670	  67.5851974000
0.680	  67.5659943000
0.690	  67.3590775000
0.700	  67.3603058000
0.710	  67.5325699000
0.720	  67.4449768000
0.730	  67.4386597000
0.740	  67.4512558000
0.750	  67.3381577000
0.760	  67.3114853000
0.770	  67.2637253000
0.780	  67.2188644000
0.790	  67.2285767000
0.800	  67.0807571000
0.810	  67.2037201000
0.820	  67.1716461000
0.830	  67.1255798000
0.840	  67.0760956000
0.850	  66.9015121000
0.860	  66.9853363000
0.870	  67.0246048000
0.880	  66.9514618000
0.890	  66.8494492000
0.900	  66.8106232000
0.910	  66.8390198000
0.920	  66.7766571000
0.930	  66.7692490000
0.940	  66.7396774000
0.950	  66.8050308000
0.960	  66.6765594000
0.970	  66.6281128000
0.980	  66.4843216000
0.990	  66.4686432000
1.000	  66.5115204000
1.010	  66.5116196000
1.020	  66.4213562000
1.030	  66.4147263000
1.040	  66.3950958000
1.050	  66.3400803000
1.060	  66.2364655000
1.070	  66.2322540000
1.080	  66.1986694000
1.090	  66.1261902000
1.100	  66.0462036000
1.110	  66.0292358000
1.120	  65.9756088000
1.130	  65.9250183000
1.140	  65.8774567000
1.150	  65.8373032000
1.160	  65.7702255000
1.170	  65.7050934000
1.180	  65.6586914000
1.190	  65.5721741000
1.200	  65.4712296000
1.210	  65.4863052000
1.220	  65.4978027000
1.230	  65.4680557000
1.240	  65.4356918000
1.250	  65.3383331000
1.260	  65.2262955000
1.270	  65.2358475000
1.280	  65.2164917000
1.290	  65.1921463000
1.300	  65.0888748000
1.310	  65.0671997000
1.320	  65.0482864000
1.330	  64.9637375000
1.340	  64.8911591000
1.350	  64.9178009000
1.360	  64.8689804000
1.370	  64.8456421000
1.380	  64.7264709000
1.390	  64.6827698000
1.400	  64.6191177000
1.410	  64.5739670000
1.420	  64.5279083000
1.430	  64.4921570000
1.440	  64.4486694000
