ProbeR	  Phi_acc
0.0000	  71.4070358000
0.0100	  71.1445007000
0.0200	  70.8305817000
0.0300	  70.5452118000
0.0400	  70.2573929000
0.0500	  69.9830399000
0.0600	  69.6996536000
0.0700	  69.3981934000
0.0800	  69.1115646000
0.0900	  68.8020706000
0.1000	  69.8114243000
0.1100	  69.5978851000
0.1200	  69.4436035000
0.1300	  69.2713089000
0.1400	  69.0347366000
0.1500	  69.4739685000
0.1600	  69.1087265000
0.1700	  68.9226608000
0.1800	  70.3150635000
0.1900	  69.9603958000
0.2000	  70.2051163000
0.2100	  70.1148605000
0.2200	  69.8891907000
0.2300	  70.3018188000
0.2400	  70.0114822000
0.2500	  70.0563278000
0.2600	  69.7355957000
0.2700	  70.5068970000
0.2800	  70.2715912000
0.2900	  70.1700058000
0.3000	  70.5511246000
0.3100	  70.3029099000
0.3200	  70.3136826000
0.3300	  70.0218811000
0.3400	  70.1566544000
0.3500	  70.2803802000
0.3600	  70.0354156000
0.3700	  70.3601761000
0.3800	  70.1431122000
0.3900	  70.3158569000
0.4000	  70.2377014000
0.4100	  69.9483719000
0.4200	  70.2057953000
0.4300	  70.1725235000
0.4400	  70.3264999000
0.4500	  70.1669159000
0.4600	  70.2859573000
0.4700	  70.2441025000
0.4800	  70.2286453000
0.4900	  70.0968628000
0.5000	  70.2485809000
0.5100	  70.1669159000
0.5200	  70.3064880000
0.5300	  70.2445679000
0.5400	  70.0748596000
0.5500	  69.8354721000
0.5600	  70.1091385000
0.5700	  69.8670807000
0.5800	  70.0193100000
0.5900	  69.8973083000
0.6000	  70.0367355000
0.6100	  70.1357574000
0.6200	  69.9895859000
0.6300	  69.9269409000
0.6400	  69.7363586000
0.6500	  69.8382416000
0.6600	  69.9038162000
0.6700	  69.7797928000
0.6800	  69.8256683000
0.6900	  69.8606644000
0.7000	  70.0146942000
0.7100	  69.7936554000
0.7200	  69.6309280000
0.7300	  69.8111496000
0.7400	  69.5991058000
0.7500	  69.6625519000
0.7600	  69.7138062000
0.7700	  69.8166504000
0.7800	  69.6414948000
0.7900	  69.6293259000
0.8000	  69.6721878000
0.8100	  69.4970779000
0.8200	  69.7701569000
0.8300	  69.5889740000
0.8400	  69.5855484000
0.8500	  69.5309906000
0.8600	  69.6571503000
0.8700	  69.5967560000
0.8800	  69.5671387000
0.8900	  69.5453949000
0.9000	  69.5702133000
0.9100	  69.4510651000
0.9200	  69.4676971000
0.9300	  69.4808273000
0.9400	  69.4341736000
0.9500	  69.4850769000
0.9600	  69.4806061000
0.9700	  69.4225998000
0.9800	  69.2621231000
0.9900	  69.4611206000
1.0000	  69.4563522000
1.0100	  69.3962708000
1.0200	  69.4320908000
1.0300	  69.3954468000
1.0400	  69.3575592000
1.0500	  69.2869415000
1.0600	  69.2340622000
1.0700	  69.1900330000
1.0800	  69.2283401000
1.0900	  69.2681732000
1.1000	  69.2976456000
1.1100	  69.3371048000
1.1200	  69.2723312000
1.1300	  69.2126923000
1.1400	  69.2010345000
1.1500	  69.1596985000
1.1600	  69.1452332000
1.1700	  69.1151428000
1.1800	  69.2320251000
1.1900	  69.1335907000
1.2000	  69.1309509000
1.2100	  69.0391159000
1.2200	  69.0694885000
1.2300	  69.0681992000
1.2500	  68.9937897000
1.2600	  69.0139771000
1.2800	  69.0645599000
1.2900	  68.9449158000
1.3000	  69.0280075000
1.3100	  68.9719772000
1.3200	  68.9007339000
1.3300	  68.8191452000
1.3400	  68.8944092000
1.3500	  68.8610916000
1.3600	  68.8894196000
1.3700	  68.9269943000
1.3800	  68.8089981000
1.3900	  68.8136444000
1.4000	  68.8681030000
1.4100	  68.7011948000
1.4200	  68.7042084000
1.4300	  68.6537476000
1.4400	  68.7410202000
1.4500	  68.5116043000
1.4600	  68.6192017000
1.4700	  68.5088043000
1.4800	  68.4842224000
1.4900	  68.3528748000
1.5000	  68.4401169000
1.5100	  68.4154968000
1.5200	  68.3470001000
1.5300	  68.1893082000
1.5400	  68.3145218000
1.5500	  68.0766296000
1.5600	  68.2539291000
1.5700	  68.1660461000
1.5800	  67.9933929000
1.5900	  67.9526138000
1.6000	  68.0121689000
1.6100	  68.0552750000
1.6200	  67.9150696000
1.6300	  67.8037109000
1.6400	  67.8637390000
1.6500	  67.7406769000
1.6600	  67.7877808000
1.6700	  67.8608093000
1.6800	  67.7473907000
1.6900	  67.6791382000
1.7000	  67.5249634000
1.7100	  67.4005432000
1.7200	  67.4401245000
1.7300	  67.4906464000
1.7400	  67.4351196000
1.7500	  67.3711243000
1.7600	  67.3793640000
1.7700	  67.2373199000
1.7800	  67.1357193000
1.7900	  67.0321732000
1.8000	  67.1048279000
1.8100	  67.1386108000
1.8200	  67.0552826000
1.8300	  67.1004791000
1.8400	  66.8834991000
1.8500	  66.9059372000
1.8600	  66.7956619000
1.8700	  66.7397995000
1.8800	  66.7681656000
1.8900	  66.8588409000
1.9000	  66.7023315000
1.9100	  66.7715225000
1.9200	  66.6040268000
1.9300	  66.5439453000
1.9400	  66.4566422000
1.9500	  66.4240494000
1.9600	  66.1711121000
1.9700	  66.1795273000
1.9800	  66.1059570000
1.9900	  66.1264343000
2.0000	  66.0198898000
2.0100	  65.9572372000
2.0200	  65.7355042000
2.0300	  65.7762527000
2.0400	  65.6969223000
2.0500	  65.5418396000
2.0600	  65.6770401000
2.0700	  65.5642776000
2.0800	  65.5364304000
2.0900	  65.6466446000
2.1000	  65.4927979000
2.1100	  65.3798447000
2.1200	  65.1577377000
2.1300	  65.2257614000
2.1400	  65.0890884000
2.1500	  65.0255737000
2.1600	  65.0811920000
2.1700	  65.0998383000
2.1800	  65.1623154000
