ProbeR	  Phi_acc
0.0000	  80.2153931000
0.0100	  79.9860916000
0.0200	  79.7629929000
0.0300	  79.5450897000
0.0400	  79.3101120000
0.0500	  79.0895081000
0.0600	  78.8669662000
0.0700	  78.6343460000
0.0800	  78.4120789000
0.0900	  78.1907654000
0.1000	  78.5771332000
0.1100	  78.3725510000
0.1200	  78.2068558000
0.1300	  77.9913330000
0.1400	  77.8274994000
0.1500	  78.8523712000
0.1600	  78.6552505000
0.1700	  78.4695206000
0.1800	  78.8431549000
0.1900	  78.6195602000
0.2000	  78.9595871000
0.2100	  78.7741852000
0.2200	  78.5237427000
0.2300	  79.3455887000
0.2400	  79.1712189000
0.2500	  79.4787445000
0.2600	  79.3247757000
0.2700	  79.0812836000
0.2800	  78.8563538000
0.2900	  79.0939255000
0.3000	  79.5763016000
0.3100	  79.3326263000
0.3200	  79.4706268000
0.3300	  79.2444763000
0.3400	  79.3179169000
0.3500	  79.2531967000
0.3600	  79.0358429000
0.3700	  79.2621078000
0.3800	  79.4266281000
0.3900	  79.2180023000
0.4000	  79.1340561000
0.4100	  78.9187012000
0.4200	  79.2922897000
0.4300	  79.3751068000
0.4400	  79.3291016000
0.4500	  79.3041077000
0.4600	  79.3965149000
0.4700	  79.3177032000
0.4800	  79.1071167000
0.4900	  79.1703873000
0.5000	  79.2873840000
0.5100	  79.4137802000
0.5200	  79.3409195000
0.5300	  79.1243210000
0.5400	  79.3310394000
0.5500	  79.2703247000
0.5600	  79.0438538000
0.5700	  78.9917755000
0.5800	  79.0832214000
0.5900	  79.0913696000
0.6000	  79.2081680000
0.6100	  79.0894394000
0.6200	  79.1341934000
0.6300	  78.9148331000
0.6400	  79.2538910000
0.6500	  79.1460037000
0.6600	  79.0373535000
0.6700	  79.1778412000
0.6800	  79.0732727000
0.6900	  78.8652420000
0.7000	  79.0102844000
0.7100	  79.0493774000
0.7200	  78.9620743000
0.7300	  79.0225830000
0.7400	  79.0249252000
0.7500	  78.9616547000
0.7600	  78.8871384000
0.7700	  78.9278183000
0.7800	  78.9726639000
0.7900	  78.9578857000
0.8000	  78.8062134000
0.8100	  78.8861237000
0.8200	  78.8960419000
0.8300	  78.9775467000
0.8400	  78.8283081000
0.8500	  78.7922592000
0.8600	  78.9295654000
0.8700	  78.8145447000
0.8800	  78.8117828000
0.8900	  78.7023773000
0.9000	  78.8597183000
0.9100	  78.8138123000
0.9200	  78.6916885000
0.9300	  78.7706375000
0.9400	  78.6175156000
0.9500	  78.8364563000
0.9600	  78.6849289000
0.9700	  78.7222214000
0.9800	  78.5539017000
0.9900	  78.7172470000
1.0000	  78.6903152000
1.0100	  78.7093735000
1.0200	  78.6129532000
1.0300	  78.6586761000
1.0400	  78.6185532000
1.0500	  78.6685562000
1.0600	  78.4452591000
1.0700	  78.5669174000
1.0800	  78.5157089000
1.0900	  78.5141907000
1.1000	  78.5532150000
1.1100	  78.4824829000
1.1200	  78.5192337000
1.1300	  78.4853134000
1.1400	  78.5284195000
1.1500	  78.5047455000
1.1600	  78.4657745000
1.1700	  78.4661865000
1.1800	  78.4385529000
1.1900	  78.3750839000
1.2000	  78.3082275000
1.2100	  78.4334641000
1.2200	  78.4196320000
1.2300	  78.3426895000
1.2400	  78.4049835000
1.2500	  78.2812805000
1.2600	  78.2992401000
1.2700	  78.2739639000
1.2800	  78.2789612000
1.2900	  78.2420731000
1.3000	  78.2530136000
1.3100	  78.2937622000
1.3200	  78.1915436000
1.3300	  78.0474396000
1.3400	  78.1363525000
1.3500	  78.1655045000
1.3600	  78.1858826000
1.3700	  78.0123291000
1.3800	  77.9873276000
1.3900	  77.8672409000
1.4000	  77.9817581000
1.4100	  77.9370880000
1.4200	  78.0101013000
1.4300	  77.9616394000
1.4400	  77.8592758000
1.4500	  77.8501587000
1.4600	  77.7843323000
1.4700	  77.7233505000
1.4800	  77.7795029000
1.4900	  77.8530807000
1.5000	  77.7397385000
1.5100	  77.6529922000
1.5200	  77.6286087000
1.5300	  77.6733017000
1.5400	  77.6456680000
1.5500	  77.4721680000
1.5600	  77.6205978000
1.5700	  77.5399933000
1.5800	  77.5401993000
1.5900	  77.4150467000
1.6000	  77.3713913000
1.6100	  77.3994370000
1.6200	  77.3890762000
1.6300	  77.4419174000
1.6400	  77.4175568000
1.6500	  77.2755508000
1.6600	  77.3134689000
1.6700	  77.2376328000
1.6800	  77.2324524000
1.6900	  77.2065506000
1.7000	  77.1236725000
1.7100	  77.2198105000
1.7200	  77.1508789000
1.7300	  77.1995087000
1.7400	  76.9802780000
1.7500	  77.1000519000
1.7600	  77.0179291000
1.7700	  77.0624771000
1.7800	  76.9335175000
1.7900	  76.9511337000
1.8000	  76.9007874000
1.8100	  76.8765411000
1.8200	  76.8799515000
1.8300	  76.8184814000
1.8400	  76.7652512000
1.8500	  76.8137589000
1.8600	  76.7227478000
1.8700	  76.7626724000
1.8800	  76.7119751000
1.8900	  76.5277939000
1.9000	  76.4669418000
1.9100	  76.5550232000
1.9200	  76.5328140000
1.9300	  76.5518723000
1.9400	  76.5787430000
1.9500	  76.3451691000
1.9600	  76.1943283000
1.9700	  76.2874985000
1.9800	  76.2537231000
1.9900	  76.2721024000
2.0000	  76.2159729000
2.0100	  76.0943375000
2.0200	  76.0623550000
2.0300	  76.0350800000
2.0400	  76.0048904000
2.0500	  75.9564133000
2.0600	  76.0520706000
2.0700	  75.8351669000
2.0800	  75.7472687000
2.0900	  75.7132797000
2.1000	  75.7191544000
2.1100	  75.7533112000
2.1200	  75.7209549000
2.1300	  75.7129364000
2.1400	  75.6465454000
2.1500	  75.5698090000
2.1600	  75.4269028000
2.1700	  75.4283524000
2.1800	  75.3036118000
2.1900	  75.2208328000
2.2000	  75.3856659000
2.2100	  75.3102493000
2.2200	  75.3309631000
2.2300	  75.1639099000
2.2400	  75.1735153000
2.2500	  75.0750656000
2.2600	  75.0418396000
2.2700	  74.9769897000
2.2800	  75.0767975000
2.2900	  75.0015106000
2.3000	  74.9806061000
2.3100	  74.8986893000
2.3200	  74.8066177000
2.3300	  74.6866455000
2.3400	  74.8081360000
2.3500	  74.7070923000
2.3600	  74.7352371000
2.3700	  74.6453400000
2.3800	  74.6597137000
2.3900	  74.5286865000
2.4000	  74.4553299000
2.4100	  74.5914688000
2.4200	  74.4830780000
2.4300	  74.4308853000
2.4400	  74.4390335000
2.4500	  74.3084946000
2.4600	  74.3271408000
2.4700	  74.2741699000
2.4800	  74.2875671000
2.4900	  74.2899628000
2.5000	  74.2656479000
2.5100	  74.2270432000
2.5200	  74.1072693000
2.5300	  74.0857239000
2.5400	  74.0158768000
2.5500	  74.0375137000
2.5600	  74.0522232000
2.5700	  73.9946899000
2.5800	  73.9836426000
2.5900	  73.8645706000
2.6000	  73.9086838000
2.6100	  73.8292007000
2.6200	  73.7987442000
2.6300	  73.8010254000
2.6400	  73.7650375000
2.6500	  73.6903763000
2.6600	  73.6994934000
2.6700	  73.6418915000
2.6800	  73.5616989000
2.6900	  73.5740814000
2.7000	  73.5900421000
2.7100	  73.6127701000
2.7200	  73.5297241000
2.7300	  73.4928360000
2.7400	  73.3755798000
2.7500	  73.4170227000
2.7600	  73.3866348000
2.7700	  73.2986832000
2.7800	  73.3479309000
2.7900	  73.2571793000
2.8000	  73.2408066000
2.8100	  73.2185898000
2.8200	  73.1793594000
2.8300	  73.2321243000
2.8400	  73.0913620000
2.8500	  73.0871506000
2.8600	  73.0441208000
2.8700	  73.0168610000
2.8800	  72.8672562000
2.8900	  72.9184875000
2.9000	  72.9733200000
2.9100	  72.9769897000
2.9200	  72.9307098000
2.9300	  72.8406448000
2.9400	  72.8424606000
2.9500	  72.7215347000
2.9600	  72.7339325000
2.9700	  72.7214966000
2.9800	  72.6986389000
2.9900	  72.6665878000
3.0000	  72.6455917000
3.0100	  72.5612793000
3.0200	  72.5307617000
3.0300	  72.5237122000
3.0400	  72.5675201000
3.0500	  72.5162735000
3.0600	  72.4888077000
3.0700	  72.3359604000
3.0800	  72.3733521000
3.0900	  72.3871613000
3.1000	  72.2792358000
3.1100	  72.3134842000
3.1200	  72.2891998000
3.1300	  72.3079834000
3.1400	  72.2097702000
3.1500	  72.2055817000
3.1600	  72.1407242000
3.1700	  72.0944672000
3.1800	  72.1075974000
3.1900	  72.0519943000
3.2000	  72.0925369000
3.2100	  72.0493011000
3.2200	  71.9124756000
3.2300	  71.9781570000
3.2400	  71.9148254000
3.2500	  71.8907166000
3.2600	  71.8559113000
3.2700	  71.8886414000
3.2800	  71.9153061000
3.2900	  71.7947845000
3.3000	  71.8244171000
3.3100	  71.7358627000
3.3200	  71.6790924000
3.3300	  71.7299957000
3.3400	  71.7641830000
3.3500	  71.7080994000
3.3600	  71.6161041000
3.3700	  71.6451797000
3.3800	  71.5513840000
3.3900	  71.4911575000
3.4000	  71.5437164000
3.4100	  71.5113907000
3.4200	  71.4966812000
3.4300	  71.4899139000
3.4400	  71.4571686000
3.4500	  71.4141464000
3.4600	  71.2327652000
3.4700	  71.3590240000
3.4800	  71.3923874000
3.5100	  71.2905731000
3.5200	  71.2442322000
3.5300	  71.1369019000
3.5400	  71.2113571000
3.5500	  71.1276474000
3.5600	  71.1418991000
3.5700	  71.1430969000
3.5800	  71.0847549000
3.5900	  71.0085678000
3.6000	  70.9890976000
3.6100	  71.0588531000
3.6200	  70.9440155000
3.6300	  70.9765778000
3.6400	  70.9279633000
3.6500	  70.8401794000
3.6600	  70.8455658000
3.6700	  70.8450851000
3.6800	  70.8374176000
3.6900	  70.8207245000
3.7000	  70.7790070000
3.7100	  70.7654724000
3.7200	  70.7436676000
3.7300	  70.7187347000
3.7400	  70.6350937000
3.7500	  70.6859512000
3.7600	  70.5929413000
3.7700	  70.6086884000
