ProbeR	  Phi_acc
0.0100	  58.7171783000
0.0200	  58.3691063000
0.0300	  58.0050888000
0.0400	  57.6486244000
0.0500	  57.3053055000
0.0600	  56.9507713000
0.0700	  56.5994339000
0.0800	  57.3832283000
0.0900	  57.1568184000
0.1000	  56.7972298000
0.1100	  56.5319138000
0.1200	  56.8356934000
0.1300	  56.6536369000
0.1400	  57.9533577000
0.1500	  57.7201118000
0.1600	  57.8330574000
0.1700	  57.4638481000
0.1800	  58.2117920000
0.1900	  57.9351883000
0.2000	  57.8060341000
0.2100	  57.4333115000
0.2200	  58.1113205000
0.2300	  57.9544296000
0.2400	  58.4294968000
0.2500	  58.0686646000
0.2600	  58.0246277000
0.2700	  57.9406624000
0.2800	  58.0311546000
0.2900	  58.4349709000
0.3000	  58.0472069000
0.3100	  58.2966728000
0.3200	  58.0909653000
0.3300	  58.1600266000
0.3400	  58.1075211000
0.3500	  58.2649994000
0.3600	  58.1195488000
0.3700	  58.0237694000
0.3800	  57.9394951000
0.3900	  57.9262543000
0.4000	  58.1269073000
0.4100	  57.9537163000
0.4200	  58.0914803000
0.4300	  58.0614090000
0.4400	  57.6703949000
0.4500	  57.8660202000
0.4600	  58.0698128000
0.4700	  57.8988838000
0.4800	  57.9235001000
0.4900	  57.9558563000
0.5000	  57.8198662000
0.5100	  57.6058273000
0.5200	  57.7906303000
0.5300	  57.7958527000
0.5400	  57.8319359000
0.5500	  57.8096581000
0.5600	  57.8268127000
0.5700	  57.7657356000
0.5800	  57.6335678000
0.5900	  57.6460304000
0.6000	  57.5796242000
0.6100	  57.6234055000
0.6200	  57.5902100000
0.6300	  57.5139809000
0.6400	  57.5582733000
0.6500	  57.5160789000
0.6600	  57.5682526000
0.6700	  57.4844704000
0.6800	  57.2914581000
0.6900	  57.4080124000
0.7000	  57.5543594000
0.7100	  57.4209290000
0.7200	  57.3810349000
0.7300	  57.3454933000
0.7400	  57.3457718000
0.7500	  57.2919731000
0.7600	  57.2433472000
0.7700	  57.3680573000
0.7800	  57.0839539000
0.7900	  57.2605019000
0.8000	  57.1643715000
0.8100	  57.2727203000
0.8200	  57.0911293000
0.8300	  57.0743904000
0.8400	  56.8263702000
0.8500	  56.9188652000
0.8600	  56.9721527000
0.8700	  56.9521980000
0.8800	  56.8020325000
0.8900	  56.7902870000
0.9000	  56.8214111000
0.9100	  56.6366501000
0.9200	  56.7834129000
0.9300	  56.5666275000
0.9400	  56.5026627000
0.9500	  56.2893257000
0.9600	  56.1249847000
0.9700	  56.2172775000
0.9800	  56.0660133000
0.9900	  56.2582321000
1.0000	  56.1472244000
1.0100	  55.8071251000
1.0200	  55.7786713000
1.0300	  55.5699959000
1.0400	  55.4659348000
1.0500	  55.5196877000
1.0600	  55.2822456000
1.0700	  55.2932014000
1.0800	  55.1912918000
1.0900	  54.8848801000
1.1000	  54.9320145000
1.1100	  54.8555260000
1.1200	  54.7631187000
1.1300	  54.0832291000
1.1400	  53.9856567000
1.1500	  53.9869118000
1.1600	  53.8532486000
1.1700	  53.7650871000
1.1800	  53.5596733000
1.1900	  53.3493233000
1.2000	  53.3474083000
1.2100	  53.3275948000
1.2200	  53.0826912000
1.2300	  52.9853516000
1.2400	  52.8978424000
1.2500	  52.7275810000
1.2600	  52.7043648000
1.2700	  52.5703621000
1.2800	  52.4318504000
1.2900	  52.2611198000
1.3000	  52.1441040000
1.3100	  52.1661224000
