ProbeR	  Phi_acc
0.000	  21.8551445000
0.010	  21.1201744000
0.020	  20.3893738000
0.030	  19.6636581000
0.040	  18.9540310000
0.050	  18.7374249000
0.060	  18.1376514000
0.070	  17.9447136000
0.080	  18.2502708000
0.090	  18.0409298000
0.100	  18.2496071000
0.110	  18.6064548000
0.120	  18.8695431000
0.130	  19.1090012000
0.140	  18.7754707000
0.150	  19.1031971000
0.160	  18.9884357000
0.170	  19.0788441000
0.180	  18.9123421000
0.190	  18.5487537000
0.200	  18.7145939000
0.210	  18.5721893000
0.220	  18.3586025000
0.230	  18.1150932000
0.240	  17.9275703000
0.250	  17.8625832000
0.260	  17.6179447000
0.270	  17.3719406000
0.280	  17.1039639000
0.290	  16.9718838000
0.300	  16.8108177000
0.310	  16.5509644000
0.320	  16.3856316000
0.330	  16.0617046000
0.340	  15.8124876000
0.350	  15.6843033000
0.360	  15.4608402000
0.370	  15.0501862000
0.380	  14.7306232000
0.390	  14.4420357000
0.400	  14.2462149000
0.410	  13.9011726000
0.420	  13.4981737000
0.430	  13.2698011000
0.440	  13.0702600000
0.450	  12.7971392000
0.460	  12.4686356000
0.470	  12.0876703000
0.480	  11.7678747000
0.490	  11.4852276000
0.500	  11.1833353000
0.510	  10.7637005000
0.520	  10.5186319000
0.530	  10.2909613000
0.540	  10.0199251000
0.550	   9.8565979000
0.560	   9.4731388100
0.570	   9.2971506100
0.580	   8.9837827700
0.590	   8.7995138200
0.600	   8.6225700400
0.610	   8.2847747800
0.620	   8.1309156400
0.630	   7.9373931900
0.640	   7.7734828000
0.650	   7.4165368100
0.660	   7.2968082400
0.670	   7.1819491400
0.680	   6.9607257800
0.690	   6.6239433300
0.700	   6.4058752100
0.710	   6.0989561100
0.720	   5.9897465700
0.730	   5.8796610800
0.740	   5.7878875700
0.750	   5.5532612800
0.760	   5.2020816800
0.770	   4.9216952300
0.780	   4.7296538400
0.790	   4.6284513500
0.800	   4.3640780400
0.810	   4.2999863600
0.820	   4.2076282500
0.830	   4.1475496300
0.840	   4.1051397300
0.850	   4.0509643600
0.860	   4.0042686500
0.870	   3.9154365100
0.880	   3.8672018100
0.890	   3.8179740900
0.900	   3.7462070000
0.910	   3.6149456500
0.920	   3.5455358000
0.930	   3.4834508900
0.940	   3.0314388300
0.950	   2.5127832900
0.960	   2.4512436400
0.970	   2.4496266800
0.980	   2.4046456800
0.990	   2.3663075000
1.000	   2.3541905900
1.010	   2.3375735300
1.020	   2.2652802500
1.030	   2.2528319400
1.040	   2.2232799500
1.050	   2.1826236200
1.060	   1.9658222200
1.070	   1.7537351800
1.080	   1.6639484200
1.090	   1.5648109900
1.100	   1.5073037100
1.110	   1.4691994200
1.120	   1.4374262100
1.130	   1.3929127500
1.140	   1.3376069100
1.150	   1.3132559100
1.160	   1.2995415900
1.170	   1.1929817200
1.180	   1.1388253000
1.190	   0.0000000000
1.200	   0.0000000000
1.210	   0.0000000000
1.220	   0.0000000000
1.230	   0.0000000000
1.240	   0.0000000000
1.250	   0.0000000000
1.260	   0.0000000000
1.270	   0.0000000000
1.280	   0.0000000000
1.290	   0.0000000000
1.300	   0.0000000000
1.310	   0.0000000000
1.320	   0.0000000000
1.330	   0.0000000000
1.340	   0.0000000000
1.350	   0.0000000000
1.360	   0.0000000000
1.370	   0.0000000000
1.380	   0.0000000000
1.390	   0.0000000000
1.400	   0.0000000000
1.410	   0.0000000000
1.420	   0.0000000000
1.430	   0.0000000000
1.440	   0.0000000000
1.450	   0.0000000000
1.460	   0.0000000000
1.470	   0.0000000000
1.480	   0.0000000000
1.490	   0.0000000000
1.500	   0.0000000000
1.510	   0.0000000000
1.520	   0.0000000000
1.530	   0.0000000000
1.540	   0.0000000000
1.550	   0.0000000000
1.560	   0.0000000000
1.570	   0.0000000000
1.580	   0.0000000000
1.590	   0.0000000000
1.600	   0.0000000000
1.610	   0.0000000000
1.620	   0.0000000000
1.630	   0.0000000000
1.640	   0.0000000000
1.650	   0.0000000000
1.660	   0.0000000000
1.670	   0.0000000000
1.680	   0.0000000000
1.690	   0.0000000000
1.700	   0.0000000000
1.710	   0.0000000000
1.720	   0.0000000000
1.730	   0.0000000000
1.740	   0.0000000000
1.750	   0.0000000000
1.760	   0.0000000000
1.770	   0.0000000000
1.780	   0.0000000000
1.790	   0.0000000000
1.800	   0.0000000000
1.810	   0.0000000000
1.820	   0.0000000000
1.830	   0.0000000000
1.840	   0.0000000000
1.850	   0.0000000000
1.860	   0.0000000000
1.870	   0.0000000000
1.880	   0.0000000000
1.890	   0.0000000000
1.900	   0.0000000000
1.910	   0.0000000000
1.920	   0.0000000000
1.930	   0.0000000000
1.940	   0.0000000000
1.950	   0.0000000000
1.960	   0.0000000000
1.970	   0.0000000000
1.980	   0.0000000000
1.990	   0.0000000000
