ProbeR	  Phi_acc
0.000	  87.7600174000
0.010	  87.6223450000
0.020	  87.4849930000
0.030	  87.3476181000
0.040	  87.2068405000
0.050	  87.0699387000
0.060	  86.9302597000
0.070	  86.7912750000
0.080	  86.6517792000
0.090	  86.5150070000
0.100	  86.5079956000
0.110	  86.6423035000
0.120	  86.5171967000
0.130	  86.4136581000
0.140	  86.3042450000
0.150	  86.8929901000
0.160	  86.7981873000
0.170	  86.6894760000
0.180	  86.9319992000
0.190	  86.8238754000
0.200	  86.7856140000
0.210	  86.8454895000
0.220	  86.7336960000
0.230	  87.2694016000
0.240	  87.1374283000
0.250	  87.3399582000
0.260	  87.2120361000
0.270	  87.0827179000
0.280	  86.9532394000
0.290	  87.0989532000
0.300	  87.1588287000
0.310	  87.2484818000
0.320	  87.3246765000
0.330	  87.1941910000
0.340	  87.2478561000
0.350	  87.2039719000
0.360	  87.0697174000
0.370	  87.2008514000
0.380	  87.3151245000
0.390	  87.1817932000
0.400	  87.0762253000
0.410	  87.0061951000
0.420	  87.2447052000
0.430	  87.2754974000
0.440	  87.2563324000
0.450	  87.2490234000
0.460	  87.2997284000
0.470	  87.2534103000
0.480	  87.1214752000
0.490	  87.0406265000
0.500	  87.1342392000
0.510	  87.2089920000
0.520	  87.2424545000
0.530	  87.1459732000
0.540	  87.2745285000
0.550	  87.2342377000
0.560	  87.1017914000
0.570	  87.0450287000
0.580	  87.1175079000
0.590	  87.1189499000
0.600	  87.1330719000
0.610	  87.1243820000
0.620	  87.1718445000
0.630	  87.0390015000
0.640	  87.0419846000
0.650	  87.1659546000
0.660	  87.0904465000
0.670	  87.0400772000
0.680	  87.1202927000
0.690	  86.9878540000
0.700	  86.9544983000
0.710	  87.1144257000
0.720	  87.0491409000
0.730	  87.0884857000
0.740	  87.0894089000
0.750	  87.0519791000
0.760	  87.0066605000
0.770	  87.0483475000
0.780	  86.9206161000
0.790	  87.0422211000
0.800	  86.9254150000
0.810	  86.9990311000
0.820	  87.0066757000
0.830	  86.9852448000
0.840	  86.9892731000
0.850	  86.9169769000
0.860	  86.9334564000
0.870	  86.9658585000
0.880	  86.9737320000
0.890	  86.8937683000
0.900	  86.8781357000
0.910	  86.9169998000
