ProbeR	  Phi_acc
0.000	  72.3595200000
0.010	  72.0882568000
0.020	  71.8236008000
0.030	  71.5614014000
0.040	  71.3059006000
0.050	  71.0463333000
0.060	  70.7837982000
0.070	  70.5243988000
0.080	  70.2721176000
0.090	  70.0010223000
0.100	  70.8188553000
0.110	  70.6285400000
0.120	  70.4717865000
0.130	  70.3077545000
0.140	  70.1401978000
0.150	  70.4330444000
0.160	  70.2034378000
0.170	  70.0809784000
0.180	  71.2915649000
0.190	  71.0462952000
0.200	  71.3611984000
0.210	  71.1698151000
0.220	  70.9302979000
0.230	  71.4570236000
0.240	  71.2055893000
0.250	  71.1976776000
0.260	  70.9660568000
0.270	  71.6367645000
0.280	  71.4027557000
0.290	  71.3305435000
0.300	  71.7396088000
0.310	  71.4743576000
0.320	  71.5440292000
0.330	  71.3020172000
0.340	  71.3028107000
0.350	  71.4010620000
0.360	  71.8235550000
0.370	  71.5707550000
0.380	  71.3132095000
0.390	  71.5830231000
0.400	  71.4252472000
0.410	  71.1726761000
0.420	  71.3702850000
0.430	  71.3861847000
0.440	  71.5793762000
0.450	  71.4565811000
0.460	  71.4632111000
0.470	  71.4347305000
0.480	  71.4682693000
0.490	  71.3037033000
0.500	  71.5159225000
0.510	  71.4054642000
0.520	  71.5734863000
0.530	  71.4567947000
0.540	  71.3540344000
0.550	  71.0909576000
0.560	  71.3209839000
0.570	  71.1654663000
0.580	  71.3331146000
0.590	  71.2108307000
0.600	  71.3191681000
0.610	  71.4073334000
0.620	  71.1921387000
0.630	  71.0705185000
0.640	  71.2167511000
0.650	  71.1498642000
0.660	  71.2113419000
0.670	  71.2950134000
0.680	  71.0623550000
0.690	  71.0931320000
0.700	  71.1906128000
0.710	  71.0282593000
0.720	  71.1127396000
0.730	  71.0566635000
0.740	  70.9479980000
0.750	  70.9293518000
0.760	  71.0197983000
0.770	  70.9520721000
0.780	  71.0633774000
0.790	  70.7476730000
0.800	  70.8444366000
0.810	  70.6930847000
0.820	  70.9024811000
0.830	  70.8249130000
0.840	  70.6704407000
0.850	  70.5494308000
0.860	  70.6887512000
0.870	  70.7386856000
0.880	  70.5814209000
0.890	  70.4652863000
0.900	  70.5277710000
0.910	  70.5331573000
0.920	  70.5144196000
0.930	  70.3204727000
0.940	  70.3027344000
0.950	  70.2375031000
0.960	  70.2176590000
0.970	  70.1226273000
0.980	  69.9335785000
0.990	  70.0920792000
1.000	  70.0490570000
1.010	  69.9079590000
1.020	  69.8872299000
1.030	  69.8400955000
1.040	  69.7705841000
1.050	  69.6053543000
1.060	  69.5325394000
1.070	  69.5404358000
1.080	  69.6711349000
1.090	  69.5487289000
1.100	  69.3980026000
1.110	  69.3721924000
1.120	  69.3655777000
1.130	  69.2466354000
1.140	  69.1533356000
1.150	  69.1050797000
1.160	  69.2479630000
1.170	  69.1890869000
1.180	  69.0616302000
1.190	  68.8986588000
1.200	  68.8254166000
1.210	  68.9739380000
1.220	  68.8496857000
